DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:0:4.467,-00022.46,-00175.29, 01002.44,-00022.31,-00008.24, 00022.76,-00010.80, 00001.95, 00016.35, 00031.91
1970-1-1 0:0:4.512, 00083.01,-00072.27, 00893.55,-00029.14, 00001.18, 00007.81,-00008.85, 00002.70, 00015.15, 00031.67
1970-1-1 0:0:4.557,-00107.91,-00052.73, 01083.98, 00002.64,-00004.50, 00004.56,-00009.45, 00000.90, 00013.80, 00031.67
1970-1-1 0:0:4.602, 00015.62,-00147.95, 01130.86,-00032.23,-00004.85, 00004.18,-00008.10, 00000.30, 00014.85, 00031.72
1970-1-1 0:0:4.647, 00059.08,-00237.30, 00913.57,-00053.18,-00005.15, 00002.04,-00009.60,-00001.20, 00014.40, 00031.72
1970-1-1 0:0:4.692, 00113.28, 00141.60, 01163.57,-00035.73,-00007.82, 00014.76,-00009.30,-00003.90, 00013.65, 00031.38
1970-1-1 0:0:4.737, 00015.62,-00208.01, 01110.84,-00017.68,-00037.13, 00000.33,-00010.20,-00003.30, 00013.05, 00031.72
1970-1-1 0:0:4.782, 00116.70,-00116.70, 01162.60, 00032.63,-00053.48, 00006.79,-00010.65,-00004.20, 00012.00, 00031.72
1970-1-1 0:0:4.827, 00043.95,-00130.86, 01012.21, 00024.85,-00025.17, 00009.87,-00012.90,-00003.30, 00010.50, 00031.91
1970-1-1 0:0:4.872, 00124.02,-00123.54, 00976.07, 00011.26, 00021.72, 00014.46,-00012.60,-00003.75, 00011.25, 00031.77
1970-1-1 0:0:4.917, 00085.45,-00050.29, 01018.07,-00007.68, 00032.18, 00013.29,-00010.50,-00003.15, 00012.60, 00031.72
1970-1-1 0:0:4.962, 00072.27,-00136.72, 01080.57,-00002.55, 00017.55, 00011.53,-00008.70,-00004.95, 00010.80, 00031.91
1970-1-1 0:0:5.07, 00007.32,-00162.11, 01067.38, 00005.69, 00005.31, 00007.84,-00008.25,-00004.50, 00010.50, 00031.53
1970-1-1 0:0:5.052, 00014.65,-00144.04, 01031.25, 00005.32, 00001.80, 00002.55,-00008.85,-00004.35, 00010.65, 00031.86
1970-1-1 0:0:5.097, 00004.39,-00188.48, 00993.16, 00006.83, 00015.91, 00008.34,-00007.50,-00005.40, 00011.55, 00031.72
1970-1-1 0:0:5.142,-00023.93,-00159.18, 01001.95, 00007.28, 00025.93, 00007.22,-00007.05,-00004.95, 00008.55, 00031.86
1970-1-1 0:0:5.187,-00018.55,-00246.09, 00932.13,-00012.27, 00041.20, 00004.13,-00004.95,-00003.60, 00011.40, 00031.77
1970-1-1 0:0:5.232,-00024.41,-00164.55, 00910.16,-00024.19, 00036.39, 00002.34,-00003.75,-00004.80, 00009.45, 00032.10
1970-1-1 0:0:5.277,-00056.64,-00184.57, 00857.91,-00031.84, 00022.47, 00004.33,-00002.70,-00005.55, 00009.45, 00031.72
1970-1-1 0:0:5.322,-00070.80,-00128.42, 00794.92,-00016.89, 00012.43, 00001.95,-00003.00,-00007.95, 00008.70, 00031.77
1970-1-1 0:0:5.389,-00093.26,-00181.15, 00741.70,-00033.40,-00000.15, 00002.02,-00001.65,-00008.55, 00008.55, 00031.77
1970-1-1 0:0:5.456,-00174.80,-00159.67, 00824.71, 00002.27,-00011.11, 00000.60,-00002.25,-00009.60, 00007.20, 00031.58
1970-1-1 0:0:5.523,-00072.75,-00199.22, 00801.27, 00003.77,-00029.36,-00005.76,-00004.80,-00009.45, 00008.10, 00031.86
1970-1-1 0:0:5.590,-00077.64,-00139.65, 00780.27, 00007.29,-00037.00,-00005.50,-00004.65,-00008.40, 00007.50, 00031.86
1970-1-1 0:0:5.657, 00047.36,-00110.84, 00836.43, 00011.07,-00043.82,-00008.11,-00007.50,-00009.00, 00008.85, 00031.72
1970-1-1 0:0:5.724, 00121.09,-00158.69, 00780.27, 00031.17,-00075.13,-00014.45,-00010.20,-00008.25, 00009.60, 00031.67
1970-1-1 0:0:5.791, 01526.86, 00274.41, 01999.94, 00250.13, 00250.13, 00027.77,-00016.80,-00007.05, 00008.85, 00031.72
1970-1-1 0:0:5.836, 00386.23,-00072.75, 01999.94, 00033.98,-00043.80,-00010.76,-00010.05, 00002.40, 00017.10, 00031.53
