DateTime,RTD1_(C),RTD2_(C),RTD3_(C)
1970-1-1 0:0:1.400,25.57,25.16,25.19
1970-1-1 0:0:3.895,25.53,25.19,25.19
1970-1-1 0:0:6.375,25.53,25.19,25.23
1970-1-1 0:0:8.853,25.53,25.23,25.19
1970-1-1 0:0:11.331,25.53,25.23,25.23
1970-1-1 0:0:13.809,25.53,25.23,25.23
1970-1-1 0:0:16.287,25.53,25.36,25.26
1970-1-1 0:0:18.778,25.50,25.43,25.26
1970-1-1 0:0:21.255,25.50,25.57,25.26
1970-1-1 0:0:23.733,25.43,25.63,25.29
1970-1-1 0:0:26.211,25.60,25.94,25.33
1970-1-1 0:0:28.695,26.58,27.12,26.21
1970-1-1 0:0:31.172,27.73,28.44,27.43
1970-1-1 0:0:33.651,28.71,29.53,28.54
1970-1-1 0:0:36.141,29.39,30.30,29.42
1970-1-1 0:0:38.631,29.97,30.88,30.17
1970-1-1 0:0:41.107,30.41,31.29,30.71
1970-1-1 0:0:43.584,30.71,31.63,31.15
1970-1-1 0:0:46.061,30.95,31.86,31.46
1970-1-1 0:0:48.551,31.19,32.10,31.76
1970-1-1 0:0:51.041,31.32,32.30,32.00
1970-1-1 0:0:53.517,31.59,32.44,32.17
1970-1-1 0:0:55.996,31.69,32.37,32.17
1970-1-1 0:0:58.473,31.66,32.24,32.17
1970-1-1 0:1:0.950,31.73,32.20,32.24
1970-1-1 0:1:3.426,31.83,32.34,32.44
1970-1-1 0:1:5.903,31.93,32.54,32.64
1970-1-1 0:1:8.394,32.10,32.71,32.81
1970-1-1 0:1:10.870,32.24,32.68,32.88
1970-1-1 0:1:13.346,32.17,32.51,32.78
1970-1-1 0:1:15.823,31.97,32.30,32.61
1970-1-1 0:1:18.302,31.76,32.00,32.37
1970-1-1 0:1:20.775,31.49,31.73,32.13
1970-1-1 0:1:23.264,31.29,31.42,31.86
1970-1-1 0:1:25.754,31.02,31.12,31.59
1970-1-1 0:1:28.232,30.78,30.81,31.39
