DateTime,RTD1_(C),RTD2_(C),RTD3_(C)
1970-1-1 0:0:11.931,25.36,24.58,25.36
1970-1-1 0:0:14.426,25.36,24.58,25.40
1970-1-1 0:0:16.906,25.36,24.58,25.36
1970-1-1 0:0:19.384,25.40,24.58,25.40
1970-1-1 0:0:21.862,25.36,24.62,25.36
1970-1-1 0:0:24.340,25.40,24.65,25.36
1970-1-1 0:0:26.818,25.36,24.62,25.36
1970-1-1 0:0:29.309,25.40,24.65,25.40
1970-1-1 0:0:31.786,25.40,24.62,25.40
1970-1-1 0:0:34.264,25.43,24.65,25.40
1970-1-1 0:0:36.742,25.40,24.62,25.40
1970-1-1 0:0:39.222,25.43,24.65,25.36
1970-1-1 0:0:41.699,25.40,24.62,25.43
1970-1-1 0:0:44.190,25.40,24.62,25.40
1970-1-1 0:0:46.667,25.40,24.58,25.40
1970-1-1 0:0:49.145,25.43,24.58,25.43
1970-1-1 0:0:51.621,25.46,24.62,25.43
1970-1-1 0:0:54.097,25.43,24.62,25.46
1970-1-1 0:0:56.587,25.46,24.65,25.43
1970-1-1 0:0:59.064,25.50,24.65,25.43
1970-1-1 0:1:1.540,25.50,24.72,25.43
1970-1-1 0:1:4.016,25.53,24.72,25.43
