DateTime,RTD1_(C),RTD2_(C),RTD3_(C)
1970-1-1 0:0:3.125,26.78,26.44,26.88
1970-1-1 0:0:4.685,26.75,26.44,26.92
1970-1-1 0:0:6.255,26.82,26.44,26.92
1970-1-1 0:0:7.829,26.78,26.44,26.92
1970-1-1 0:0:9.316,26.78,26.41,26.92
1970-1-1 0:0:10.809,26.82,26.44,26.95
1970-1-1 0:0:12.269,26.78,26.88,26.92
1970-1-1 0:0:13.741,26.85,26.85,26.92
1970-1-1 0:0:15.179,26.85,26.85,26.92
1970-1-1 0:0:16.652,26.82,26.85,26.95
1970-1-1 0:0:18.131,26.85,26.88,26.95
1970-1-1 0:0:19.604,26.85,26.85,26.92
1970-1-1 0:0:21.72,26.85,26.85,26.95
1970-1-1 0:0:22.530,26.88,26.88,26.95
1970-1-1 0:0:23.981,26.85,26.92,26.95
1970-1-1 0:0:25.411,26.85,26.92,26.95
1970-1-1 0:0:26.865,26.85,26.92,26.99
1970-1-1 0:0:28.357,26.88,26.95,26.95
1970-1-1 0:0:29.840,27.02,26.92,26.95
1970-1-1 0:0:31.320,27.63,26.92,26.95
1970-1-1 0:0:32.804,28.27,26.92,26.95
1970-1-1 0:0:34.290,28.95,26.92,26.99
1970-1-1 0:0:35.773,29.66,26.95,26.99
1970-1-1 0:0:37.268,30.24,26.92,26.99
1970-1-1 0:0:38.758,30.78,26.95,26.99
1970-1-1 0:0:40.254,31.25,26.95,26.95
1970-1-1 0:0:41.756,31.63,26.95,26.99
1970-1-1 0:0:43.242,32.00,26.95,26.99
1970-1-1 0:0:44.745,32.27,26.92,26.95
1970-1-1 0:0:46.246,32.41,26.99,26.99
1970-1-1 0:0:47.740,32.51,27.36,27.39
1970-1-1 0:0:49.242,32.54,28.27,28.14
1970-1-1 0:0:50.725,32.54,29.25,28.95
1970-1-1 0:0:52.227,32.47,30.10,29.76
1970-1-1 0:0:53.710,32.41,30.88,30.44
1970-1-1 0:0:55.203,32.37,31.42,30.98
1970-1-1 0:0:56.652,32.24,31.76,31.32
1970-1-1 0:0:58.118,32.13,31.93,31.52
1970-1-1 0:0:59.536,32.03,32.00,31.63
1970-1-1 0:1:1.1,31.97,32.00,31.66
1970-1-1 0:1:2.483,31.80,31.90,31.63
1970-1-1 0:1:3.957,31.69,31.73,31.56
1970-1-1 0:1:5.449,31.56,31.52,31.46
1970-1-1 0:1:6.920,31.42,31.32,31.39
1970-1-1 0:1:8.414,31.32,31.12,31.29
