DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:0:12.12209,-00046.88,-00004.39, 01001.95, -00002.73, 00000.08, 00001.86,-00004.20,-00000.75, 00014.40, 00031.86
1970-1-1 0:0:13.13156,-00024.41,-00021.97, 01003.42,  00000.13,-00002.59,-00000.34,-00006.15, 00000.75, 00016.35, 00032.39
1970-1-1 0:0:14.14082,-00038.57,-00020.51, 00997.56,  00000.00,-00001.51, 00001.27,-00004.95, 00001.20, 00015.15, 00032.25
1970-1-1 0:0:15.15022,-00040.04,-00009.77, 00998.05, -00001.78, 00001.08,-00002.47,-00004.20,-00000.30, 00015.60, 00032.39
1970-1-1 0:0:15.15891,-00047.36,-00013.67, 01001.95, -00003.09, 00000.42,-00001.81,-00004.20, 00000.00, 00015.60, 00032.25
1970-1-1 0:0:16.16734,-00248.54,-00071.78, 01190.43,  00007.36,-00003.54, 00080.07,-00001.35,-00001.80, 00016.50, 00032.25
1970-1-1 0:0:17.17561,-00026.86, 00183.59, 01125.00,  00010.40,-00004.21,-00039.07, 00001.35, 00000.90, 00018.90, 00032.44
1970-1-1 0:0:18.18371,-00058.11,-00062.99, 01012.21, -00003.72,-00000.23,-00001.11,-00000.30,-00000.30, 00017.85, 00032.58
1970-1-1 0:0:19.19341,-00001.95, 00024.90, 01027.83, -00041.80,-00012.43, 00012.86,-00005.25, 00000.60, 00015.45, 00032.53
1970-1-1 0:0:20.20167,-00056.15,-00135.25, 01005.86, -00062.55, 00112.82,-00012.43,-00002.25,-00006.45, 00011.40, 00032.73
1970-1-1 0:0:20.20959,-00143.55,-00238.28, 00834.96, -00002.78,-00031.30, 00006.91, 00004.05,-00011.40, 00009.30, 00032.77
1970-1-1 0:0:21.21787,-00071.29, 00017.09, 01035.16, -00001.66, 00001.34,-00000.31, 00001.35,-00000.60, 00016.20, 00032.58
1970-1-1 0:0:22.22628,-00010.74,-00860.84, 00552.73, -00005.50, 00002.46,-00000.78,-00001.35,-00032.40,-00021.15, 00032.58
1970-1-1 0:0:23.23467,-00099.61, 00070.31, 01153.32,  00106.53,-00005.15,-00044.60, 00001.50,-00000.75, 00015.60, 00032.77
1970-1-1 0:0:24.24276, 00073.24, 00121.58, 00984.86,  00001.73, 00011.15,-00000.95,-00006.90, 00003.90, 00016.35, 00032.44
1970-1-1 0:0:25.25118, 00475.10,-00019.53, 00855.47,  00006.95,-00055.57,-00007.80,-00028.20,-00007.80, 00005.40, 00032.73
1970-1-1 0:0:25.25954,-00047.36, 00086.43, 01017.58,  00010.80, 00003.18,-00006.98,-00006.15, 00000.30, 00020.55, 00032.58
1970-1-1 0:0:26.26786,-00774.90, 00174.32, 00641.60,  00003.01, 00010.48, 00011.05, 00031.05, 00007.95, 00004.95, 00032.77
1970-1-1 0:0:27.27605,-00089.36, 00089.84, 00991.21, -00002.75,-00003.17,-00023.11,-00001.80, 00007.65, 00015.90, 00032.63
1970-1-1 0:0:28.28444,-00126.46,-00040.04, 01260.25,  00008.42, 00007.32, 00008.37,-00004.20, 00000.75, 00014.10, 00033.11
1970-1-1 0:0:29.29285,-00036.13,-00011.23, 01002.93, -00000.29,-00003.33, 00002.46,-00004.20,-00000.75, 00014.85, 00033.06
1970-1-1 0:0:30.30133,-00035.64,-00003.42, 01008.30, -00000.15,-00000.39,-00000.68,-00003.75,-00000.30, 00015.60, 00032.73
1970-1-1 0:0:30.30983,-00035.64,-00018.07, 01005.37,  00001.88, 00000.05, 00001.95,-00003.60,-00000.90, 00016.20, 00032.92
1970-1-1 0:0:31.31833,-00041.99,-00014.16, 01014.16,  00000.31,-00000.70, 00000.24,-00003.75, 00000.00, 00014.85, 00032.82
1970-1-1 0:0:32.32672,-00040.53,-00012.70, 01000.98,  00000.47,-00001.44, 00002.02,-00003.75,-00000.75, 00015.60, 00032.82
1970-1-1 0:0:33.33523,-00048.34,-00012.70, 01016.11,  00000.72,-00002.77, 00000.99,-00001.80,-00000.30, 00014.85, 00032.82
1970-1-1 0:0:34.34370,-00041.02,-00023.44, 01000.00, -00002.42, 00002.88, 00000.35,-00002.25, 00000.00, 00015.15, 00032.82
1970-1-1 0:0:35.35213,-00039.55,-00004.39, 01017.09, -00000.79, 00001.08, 00002.77,-00002.70, 00000.75, 00016.35, 00033.06
1970-1-1 0:0:36.36073,-00047.36,-00025.39, 00991.21, -00001.13, 00001.77, 00000.60,-00002.70,-00000.75, 00015.90, 00033.11
1970-1-1 0:0:36.36922,-00040.04,-00023.93, 00994.63, -00002.31, 00000.11,-00001.82,-00003.45,-00000.30, 00015.60, 00032.77
1970-1-1 0:0:37.37784,-00038.57,-00028.32, 01000.00, -00001.86, 00000.64, 00001.19,-00004.20,-00000.30, 00014.85, 00033.16
1970-1-1 0:0:38.38634,-00036.62,-00010.74, 00996.58, -00000.34,-00001.59, 00001.73,-00003.60,-00000.90, 00015.45, 00032.82
1970-1-1 0:0:39.39485,-00064.94,-00001.95, 01004.88, -00003.99,-00001.48, 00003.94,-00003.75, 00000.00, 00014.85, 00032.82
1970-1-1 0:0:40.40467,-00053.22,-00021.00, 01005.86, -00000.70,-00004.54, 00001.52,-00001.50,-00000.75, 00014.85, 00032.92
