DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:0:3.219,-00014.16,-00010.74, 01001.46, -00002.70, 00002.34,-00001.04,-00008.55, 00002.70, 00019.80, 00030.52
1970-1-1 0:0:4.780, 00001.95,-00017.09, 01008.79,  00001.24,-00003.15, 00000.74,-00009.60, 00001.50, 00019.80, 00030.62
1970-1-1 0:0:6.349, 00005.37,-00027.34, 01001.95,  00001.87, 00002.43,-00000.12,-00009.30, 00002.70, 00020.55, 00030.86
1970-1-1 0:0:7.924, 00030.27, 00090.33, 01024.90, -00001.69,-00004.96, 00005.31,-00008.85, 00002.70, 00020.55, 00031.00
1970-1-1 0:0:9.410, 00434.57,-00074.22, 00913.09, -00002.22,-00006.96,-00005.49,-00029.10,-00006.75, 00009.15, 00031.05
1970-1-1 0:0:10.903, 00030.76,-00780.27, 00649.41,  00003.25, 00004.54,-00002.80,-00013.50,-00033.45,-00010.20, 00030.81
1970-1-1 0:0:12.363, 00020.02, 00039.55, 01029.79,  00073.86,-00006.02, 00025.48,-00009.60, 00003.60, 00020.10, 00031.05
1970-1-1 0:0:13.836, 00037.60, 00397.95, 00996.58, -00013.76,-00031.56, 00005.45,-00012.00, 00023.25, 00021.30, 00031.14
1970-1-1 0:0:15.282, 00001.46, 00206.54, 00992.68, -00012.56, 00002.11, 00016.36,-00012.00, 00002.70, 00021.00, 00030.95
1970-1-1 0:0:16.745, 00084.96, 00013.67, 01052.73, -00006.05, 00011.15, 00001.95,-00009.90, 00000.90, 00019.20, 00030.86
1970-1-1 0:0:18.225,-00063.96,-00176.27, 00812.99, -00015.73, 00009.76, 00005.15,-00002.10,-00006.60, 00012.75, 00031.14
1970-1-1 0:0:19.697, 00018.07, 00333.98, 00878.91,  00015.66, 00003.33, 00005.79,-00003.45, 00018.00, 00019.35, 00031.19
