DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:1:1.672, 00023.93,-00470.21, 00821.29, -00034.17,-00030.30, 00003.05,-00009.90,-00017.40, 00003.90, 00030.67
1970-1-1 0:1:3.131, 00066.89,-00240.23, 00948.24, -00057.85,-00051.20, 00005.40,-00009.45,-00005.70, 00010.80, 00030.67
1970-1-1 0:1:4.585,-00250.98,-00174.32, 00951.66,  00013.68, 00010.13, 00001.00, 00005.25,-00006.60, 00012.75, 00030.62
1970-1-1 0:1:6.035, 00003.91,-00012.70, 01008.30, -00001.79,-00000.05, 00000.00,-00012.60, 00002.55, 00020.70, 00030.86
1970-1-1 0:1:7.506, 00006.35,-00025.39, 01003.42, -00000.00, 00001.03, 00000.41,-00012.60, 00000.90, 00018.00, 00030.81
1970-1-1 0:1:8.987,-00025.39,-00006.35, 00982.91, -00001.13,-00002.82,-00001.13,-00010.05, 00001.95, 00021.00, 00030.52
1970-1-1 0:1:10.476,-00031.25,-00009.77, 01000.98,  00000.46,-00001.37, 00002.95,-00008.10, 00001.50, 00023.25, 00030.52
1970-1-1 0:1:11.960,-00040.04,-00020.02, 00997.56, -00002.78, 00001.63,-00004.63,-00009.90, 00001.35, 00019.95, 00031.05
1970-1-1 0:1:13.450,-00029.30,-00029.79, 01003.42, -00002.16, 00002.13, 00000.04,-00009.60, 00003.60, 00022.80, 00030.62
1970-1-1 0:1:14.922,-00028.32,-00030.27, 01008.79, -00000.22,-00001.69, 00001.59,-00009.30, 00001.20, 00021.00, 00030.81
1970-1-1 0:1:16.407,-00018.55,-00013.18, 01000.98,  00001.73,-00002.48, 00002.84,-00008.85, 00002.70, 00022.05, 00030.86
1970-1-1 0:1:17.878,-00024.41,-00020.51, 01011.23,  00000.75,-00003.53, 00000.16,-00008.55, 00002.70, 00021.00, 00030.81
1970-1-1 0:1:19.361,-00043.46,-00023.44, 00996.58,  00000.07,-00001.76, 00000.02,-00008.70, 00000.90, 00021.90, 00030.86
1970-1-1 0:1:20.853,-00044.92,-00016.11, 00992.68,  00000.91,-00000.26, 00002.76,-00009.00, 00002.55, 00022.20, 00030.81
1970-1-1 0:1:22.341,-00021.00,-00022.46, 01003.91,  00001.24,-00001.25, 00002.07,-00009.60, 00003.15, 00022.80, 00030.67
1970-1-1 0:1:23.821,-00033.20,-00028.32, 00997.56, -00000.89,-00000.40,-00000.66,-00008.55, 00000.00, 00022.50, 00030.86
1970-1-1 0:1:25.305,-00031.74, 00005.86, 00995.61, -00004.07, 00002.53, 00000.44,-00010.80, 00000.75, 00019.35, 00030.81
1970-1-1 0:1:26.798,-00024.90,-00006.84, 01005.86, -00000.50,-00002.27, 00002.12,-00007.65, 00000.75, 00022.50, 00030.86
1970-1-1 0:1:28.278,-00029.79,-00021.00, 01012.70, -00001.48,-00000.94,-00001.69,-00009.00, 00001.80, 00022.65, 00031.00
