DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:0:4.635,-00021.48,-00018.55, 00994.63,  00001.18, 00000.56, 00002.80,-00009.60, 00004.35, 00019.35, 00029.66
1970-1-1 0:0:5.358,-00016.60,-00011.23, 00984.86,  00002.13,-00000.49, 00000.36,-00009.30, 00003.60, 00020.10, 00029.95
1970-1-1 0:0:6.084,-00022.46,-00006.35, 00999.51, -00000.58,-00003.01, 00001.10,-00008.85, 00002.40, 00019.05, 00029.95
1970-1-1 0:0:6.810,-00020.02,-00001.46, 01021.48, -00001.84, 00001.15, 00001.37,-00008.55, 00003.15, 00021.00, 00029.66
1970-1-1 0:0:7.536,-00024.41,-00025.88, 00989.26, -00002.50, 00000.30, 00000.33,-00008.85, 00003.90, 00021.00, 00030.19
1970-1-1 0:0:8.262,-00028.81,-00030.76, 01000.98, -00000.83,-00000.71, 00001.24,-00008.85, 00004.35, 00019.35, 00030.19
1970-1-1 0:0:8.988,-00022.46,-00013.18, 01001.46, -00000.98, 00001.08, 00002.66,-00008.70, 00004.20, 00019.20, 00029.95
1970-1-1 0:0:9.714,-00033.20,-00028.32, 01006.35, -00000.10,-00005.11,-00000.92,-00008.55, 00002.70, 00019.05, 00030.43
1970-1-1 0:0:10.440,-00025.88,-00021.00, 01003.91,  00001.38, 00000.40, 00000.24,-00008.25, 00003.75, 00019.65, 00030.19
1970-1-1 0:0:11.166,-00028.81,-00009.77, 01001.95,  00000.09,-00002.60,-00001.31,-00008.55, 00003.90, 00019.05, 00029.90
1970-1-1 0:0:11.892,-00025.88,-00019.04, 00999.51, -00001.82, 00001.31,-00000.40,-00010.20, 00004.20, 00019.65, 00030.43
1970-1-1 0:0:12.618,-00026.37,-00017.58, 01012.70, -00002.97, 00001.30, 00001.48,-00009.00, 00004.20, 00019.65, 00030.28
1970-1-1 0:0:13.344,-00015.14,-00013.67, 01000.00, -00003.82,-00002.91, 00001.07,-00010.80, 00003.15, 00019.35, 00029.99
1970-1-1 0:0:14.069,-00013.18,-00019.04, 00995.61, -00001.67, 00000.18, 00000.63,-00009.30, 00003.90, 00018.60, 00029.95
1970-1-1 0:0:14.800,-00021.48,-00010.25, 01000.98, -00003.66,-00000.95,-00000.60,-00009.00, 00004.20, 00019.65, 00030.47
1970-1-1 0:0:15.525,-00020.02,-00017.09, 00998.05, -00000.47,-00000.37, 00000.30,-00008.55, 00005.10, 00017.55, 00030.33
1970-1-1 0:0:16.252,-00034.18,-00012.21, 01010.74, -00002.13,-00001.05,-00000.02,-00007.50, 00003.75, 00019.65, 00029.99
1970-1-1 0:0:16.977,-00031.74,-00013.67, 00985.84, -00001.12, 00000.37, 00001.26,-00010.20, 00003.75, 00019.65, 00030.47
1970-1-1 0:0:17.703,-00021.97,-00017.09, 01004.39, -00001.64, 00000.02,-00000.60,-00009.00, 00003.30, 00019.65, 00030.43
1970-1-1 0:0:18.425,-00033.20,-00000.98, 00998.54, -00000.87,-00003.04, 00001.76,-00008.10, 00003.15, 00019.05, 00030.33
1970-1-1 0:0:19.151,-00020.51,-00025.39, 01013.67,  00001.21,-00001.40, 00002.12,-00008.25, 00003.30, 00019.95, 00030.52
1970-1-1 0:0:19.882,-00026.86,-00010.74, 01001.95,  00001.46, 00001.24, 00002.60,-00009.90, 00003.30, 00019.20, 00030.43
1970-1-1 0:0:20.608,-00030.27,-00006.35, 01001.46, -00000.50,-00000.44,-00000.35,-00008.55, 00003.15, 00019.05, 00030.47
1970-1-1 0:0:21.342,-00025.88,-00012.21, 01002.93, -00000.53,-00003.56,-00000.95,-00009.00, 00003.75, 00018.45, 00030.47
1970-1-1 0:0:22.068,-00026.86,-00020.51, 01007.81,  00001.15,-00000.23, 00001.94,-00008.55, 00005.10, 00021.00, 00030.62
1970-1-1 0:0:22.794,-00027.83,-00024.90, 01007.32, -00001.50, 00000.29, 00001.44,-00009.60, 00003.15, 00019.05, 00030.47
1970-1-1 0:0:40.974,-00038.09,-00036.62, 01005.37, -00001.41,-00000.50,-00000.36,-00007.95, 00003.30, 00019.95, 00030.62
1970-1-1 0:0:41.700,-00028.81,-00018.07, 01004.88, -00002.48, 00000.65,-00000.07,-00008.10, 00003.90, 00019.35, 00030.81
1970-1-1 0:0:42.430,-00039.06, 00001.95, 01001.46, -00000.24, 00000.83, 00003.96,-00009.30, 00002.40, 00020.10, 00030.95
1970-1-1 0:0:43.156,-00022.95,-00011.72, 00994.63,  00002.22,-00000.23, 00001.45,-00007.35, 00003.15, 00018.30, 00030.67
1970-1-1 0:0:43.887,-00025.88,-00016.60, 01003.91, -00000.11,-00000.36, 00001.02,-00008.55, 00003.60, 00019.05, 00030.81
1970-1-1 0:0:44.613,-00027.83,-00015.62, 01003.42,  00000.02,-00001.75, 00004.26,-00007.65, 00004.35, 00019.35, 00030.81
1970-1-1 0:0:45.336,-00021.97,-00019.04, 01006.84, -00001.81,-00001.21, 00000.52,-00008.10, 00003.90, 00019.80, 00030.62
1970-1-1 0:0:46.062,-00030.76,-00024.90, 00998.05, -00002.53,-00000.15, 00002.29,-00008.85, 00003.15, 00019.05, 00030.47
1970-1-1 0:0:46.788,-00026.37,-00011.72, 01005.86, -00001.94,-00000.00,-00003.02,-00007.35, 00003.60, 00020.55, 00030.67
1970-1-1 0:0:47.514,-00037.60,-00023.44, 01002.44, -00000.99,-00000.50,-00002.28,-00009.00, 00003.00, 00019.65, 00030.81
1970-1-1 0:0:48.240,-00029.30,-00021.48, 01000.00, -00000.82,-00001.63,-00000.52,-00009.30, 00003.15, 00019.35, 00030.86
1970-1-1 0:0:48.966,-00036.13,-00026.86, 01002.44, -00000.25,-00001.51, 00000.50,-00007.65, 00003.15, 00018.60, 00030.95
1970-1-1 0:0:49.697,-00028.32,-00019.53, 00999.02, -00000.62, 00000.44, 00000.39,-00007.35, 00004.35, 00018.30, 00030.62
1970-1-1 0:0:50.423,-00031.74,-00025.88, 01010.25,  00000.26,-00002.03,-00001.66,-00007.35, 0
