DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-0-0 0:0:0.927,-00029.30,-00037.11, 01000.49, 00002.11,-00001.00, 00002.93,-00008.70, 00001.80, 00017.25, 00028.89
1970-1-1 0:0:1.445,-00007.81,-00013.18, 00995.12, 00000.16, 00001.09,-00000.52,-00009.60, 00001.20, 00016.80, 00028.89
1970-1-1 0:0:1.963,-00028.32,-00020.02, 00986.82,-00002.14, 00001.25,-00001.34,-00009.45, 00000.60, 00016.95, 00028.89
1970-1-1 0:0:2.481,-00018.07,-00005.37, 01016.60,-00000.29,-00003.24, 00005.08,-00009.30, 00001.95, 00018.30, 00028.89
1970-1-1 0:0:3.03,-00020.02,-00020.51, 01010.25,-00001.91, 00000.27,-00000.93,-00010.50, 00001.20, 00016.35, 00029.04
1970-1-1 0:0:3.532,-00028.81, 00082.52, 00890.14, 00018.31, 00003.48, 00003.24,-00010.05, 00000.30, 00015.90, 00029.23
1970-1-1 0:0:4.050, 00128.42, 00193.85, 01014.16,-00069.06, 00112.85, 00006.55,-00017.40, 00010.05, 00015.90, 00029.37
1970-1-1 0:0:4.568,-00053.22,-00016.11, 00966.80,-00011.53, 00012.92, 00002.23,-00002.70, 00000.30, 00015.15, 00028.89
1970-1-1 0:0:5.086,-00115.72,-00036.62, 01025.39,-00003.72,-00003.16, 00000.31, 00000.00,-00001.95, 00014.85, 00029.42
1970-1-1 0:0:5.604,-00134.28,-00065.43, 01002.93,-00003.09, 00001.70, 00000.71, 00000.30,-00003.90, 00014.10, 00029.42
1970-1-1 0:0:6.133,-00171.88,-00001.46, 00915.04, 00018.68,-00042.59, 00003.79, 00000.45,-00003.30, 00014.25, 00029.37
