DateTime,Scaled_Acc_X_(mg),Scaled_Acc_Y_(mg),Scaled_Acc_Z_(mg),Gyr_X_(DPS),Gyr_Y_(DPS),Gyr_Z_(DPS),Mag_X_(uT),Mag_Y_(uT),Mag_Z_(uT),Tmp_(C)
1970-1-1 0:0:11.458,-00024.41,-00008.30, 00987.79,-00000.13,-00000.50, 00000.50,-00010.50, 00006.00, 00016.80, 00029.28
1970-1-1 0:0:11.976,-00031.25,-00024.90, 00998.54,-00002.15, 00000.78, 00000.44,-00010.65, 00007.80, 00017.70, 00029.08
1970-1-1 0:0:12.494,-00009.77,-00014.16, 01000.98,-00000.70, 00002.47,-00000.40,-00009.30, 00006.45, 00017.10, 00029.42
1970-1-1 0:0:13.012,-00027.34,-00030.76, 01000.49,-00000.76, 00000.46, 00000.64,-00010.20, 00005.70, 00017.25, 00029.13
1970-1-1 0:0:13.534,-00018.07,-00011.23, 01003.42,-00002.33,-00001.81,-00000.45,-00010.50, 00006.75, 00016.80, 00029.28
1970-1-1 0:0:14.063,-00029.30,-00021.00, 01003.42,-00000.55,-00001.53, 00000.30,-00011.25, 00006.45, 00015.90, 00029.66
1970-1-1 0:0:14.581,-00026.37,-00017.09, 00999.02, 00001.27,-00001.65, 00001.22,-00010.80, 00005.55, 00017.10, 00029.42
1970-1-1 0:0:15.099,-00011.72,-00022.95, 01014.16,-00001.29, 00002.45,-00000.05,-00009.30, 00006.75, 00017.85, 00029.47
1970-1-1 0:0:15.617,-00013.67,-00022.46, 01003.42,-00001.36, 00002.40,-00001.53,-00010.20, 00006.15, 00017.70, 00029.56
1970-1-1 0:0:16.135,-00028.81,-00014.65, 01000.98,-00000.98,-00000.82,-00001.34,-00010.65, 00005.70, 00017.25, 00029.75
1970-1-1 0:0:16.664,-00007.32,-00023.44, 01006.35,-00002.81,-00001.76,-00000.38,-00009.30, 00006.00, 00018.30, 00029.56
1970-1-1 0:0:17.182,-00019.04,-00023.93, 01008.79, 00000.98, 00000.33, 00002.80,-00009.90, 00006.60, 00017.25, 00029.66
1970-1-1 0:0:17.700,-00013.18,-00013.18, 01004.88,-00000.33,-00001.25, 00003.28,-00010.05, 00006.75, 00017.85, 00029.66
